ts_code,symbol,name,area,industry,fullname,enname,list_date
688137.SH,688137.0,近岸蛋白,江苏,生物制药,苏州近岸蛋白质科技股份有限公司,Novoprotein Scientific Inc.,2022-09-29
688138.SH,688138.0,清溢光电,深圳,半导体,深圳清溢光电股份有限公司,Shenzhen Qingyi Photomask Limited,2019-11-20
688139.SH,688139.0,海尔生物,山东,医疗保健,青岛海尔生物医疗股份有限公司,"Qingdao Haier Biomedical Co.,Ltd",2019-10-25
688141.SH,688141.0,杰华特,浙江,半导体,杰华特微电子股份有限公司,"Joulwatt Technology Co., Ltd.",2022-12-23
688143.SH,688143.0,长盈通,湖北,通信设备,武汉长盈通光电技术股份有限公司,"Yangtze Optical Electronic Co., Ltd.",2022-12-12
688146.SH,688146.0,中船特气,河北,半导体,中船(邯郸)派瑞特种气体股份有限公司,"Peric Special Gases Co., Ltd.",2023-04-21
688147.SH,688147.0,微导纳米,江苏,专用机械,江苏微导纳米科技股份有限公司,"Jiangsu Leadmicro Nano Technology Co., Ltd.",2022-12-23
688148.SH,688148.0,芳源股份,广东,电气设备,广东芳源新材料集团股份有限公司,"Guangdong Fangyuan New Materials Group Co.,Ltd.",2021-08-06
688150.SH,688150.0,莱特光电,陕西,元器件,陕西莱特光电材料股份有限公司,"Shaanxi Lighte Optoelectronics Material Co.,Ltd",2022-03-18
688151.SH,688151.0,华强科技,湖北,专用机械,湖北华强科技股份有限公司,"Hubei Huaqiang High-Tech Co., Ltd.",2021-12-06
688152.SH,688152.0,麒麟信安,湖南,软件服务,湖南麒麟信安科技股份有限公司,"Hunan Kylinsec Technology Co., Ltd.",2022-10-28
688153.SH,688153.0,唯捷创芯,天津,半导体,唯捷创芯(天津)电子技术股份有限公司,"Vanchip(Tianjin) Technology Co.,Ltd.",2022-04-12
688155.SH,688155.0,先惠技术,上海,专用机械,上海先惠自动化技术股份有限公司,"Shanghai Sk Automation Technology Co., Ltd",2020-08-11
688156.SH,688156.0,路德环境,湖北,环境保护,路德环境科技股份有限公司,"Road Environment Technology Co., Ltd.",2020-09-22
688157.SH,688157.0,松井股份,湖南,染料涂料,湖南松井新材料股份有限公司,"Hunan Sokan New Materials Co., Ltd.",2020-06-09
688158.SH,688158.0,优刻得-W,上海,软件服务,优刻得科技股份有限公司,"UCloud Technology Co., Ltd.",2020-01-20
688159.SH,688159.0,有方科技,深圳,通信设备,深圳市有方科技股份有限公司,"Shenzhen Neoway Technology Co.,Ltd.",2020-01-23
688160.SH,688160.0,步科股份,上海,电器仪表,上海步科自动化股份有限公司,"Kinco Automation(Shanghai)Co., Ltd",2020-11-12
688161.SH,688161.0,威高骨科,山东,医疗保健,山东威高骨科材料股份有限公司,"Shandong Weigao Orthopaedic Device Co.,Ltd.",2021-06-30
688162.SH,688162.0,巨一科技,安徽,专用机械,安徽巨一科技股份有限公司,"Jee Technology Co., Ltd.",2021-11-10
688163.SH,688163.0,赛伦生物,上海,生物制药,上海赛伦生物技术股份有限公司,"Shanghai Serum Bio-Technology Co., Ltd.",2022-03-11
688165.SH,688165.0,埃夫特-U,安徽,专用机械,埃夫特智能装备股份有限公司,"Efort Intelligent Equipment Co., Ltd.",2020-07-15
688166.SH,688166.0,博瑞医药,江苏,化学制药,博瑞生物医药(苏州)股份有限公司,"Brightgene Bio-Medical Technology Co., Ltd.",2019-11-08
